desc,model,weighted,train_f1_micro,train_f1_macro,train_f1_weighted,train_accuracy,test_f1_micro,test_f1_macro,test_f1_weighted,test_accuracy,time,mode,hidden_size,input_size,layers,train_loss,test_loss
"ORB(nfeatures=500, scoreType=ORB_HARRIS_SCORE)",LSTM,,0.7837209302325583,0.5797292391480681,0.7230435337471943,0.7837209302325582,0.730232558139535,0.5068538713195202,0.6647023915193631,0.7302325581395349,1604414441.588911,hidden,256.0,32.0,1.0,0.9752818942070007,1.0142143964767456
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.8872093023255814,0.8193540699032456,0.8796717723095907,0.8872093023255814,0.763888888888889,0.6298158983873269,0.7449237534951821,0.7638888888888888,1604414467.5403314,cells,128.0,32.0,1.0,0.658010721206665,0.7880352139472961
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.8430232558139534,0.7484523271315913,0.8288165408977437,0.8430232558139535,0.7407407407407407,0.5934065934065934,0.7168294668294668,0.7407407407407407,1604414473.833327,cells,128.0,32.0,1.0,0.7634478807449341,0.8573148250579834
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.8732558139534884,0.7859917438358499,0.8596792740450068,0.8732558139534884,0.7962962962962963,0.6272020177399742,0.7639914755482339,0.7962962962962963,1604414483.1804457,cells,128.0,32.0,1.0,0.8831683993339539,0.9339045882225037
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.9046511627906977,0.8726861450918055,0.903852670049467,0.9046511627906977,0.6944444444444444,0.6070130435688408,0.6979545382453854,0.6944444444444444,1604414495.6609273,cells,256.0,32.0,1.0,0.4544553756713867,0.7160770297050476
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.8941860465116279,0.8482996158621979,0.8909830775128943,0.8941860465116279,0.7083333333333334,0.5533932441827178,0.6914838329312013,0.7083333333333334,1604414508.6877573,cells,256.0,32.0,1.0,0.5357900857925415,0.7450730204582214
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.8976744186046511,0.8589110731879122,0.8891775512426605,0.8976744186046511,0.7870370370370371,0.660327671574491,0.7600830885328104,0.7870370370370371,1604414528.1533082,cells,256.0,32.0,1.0,0.6584208607673645,0.7985766530036926
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.8360465116279069,0.7255856344655964,0.8119152409593312,0.836046511627907,0.763888888888889,0.5786568986568986,0.720578392800615,0.7638888888888888,1604414554.0491962,cells,128.0,32.0,1.0,0.9295513033866882,0.998753011226654
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.8220930232558139,0.6904803437916022,0.796644030371121,0.8220930232558139,0.7685185185185186,0.5775284010178512,0.728720293837781,0.7685185185185185,1604414560.3203702,cells,128.0,32.0,1.0,1.0698556900024414,1.1005276441574097
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.7441860465116278,0.5136813088977635,0.6916860770688673,0.7441860465116279,0.7314814814814816,0.4408486922531866,0.6494096282251713,0.7314814814814815,1604414569.7054918,cells,128.0,32.0,1.0,1.1454846858978271,1.1583143472671509
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.7406976744186047,0.6915431708286909,0.7492649553045929,0.7406976744186047,0.6157407407407407,0.46377611552156006,0.6124165667319512,0.6157407407407407,1604414582.2655833,cells,256.0,32.0,1.0,0.7338263988494873,0.8403985500335693
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.8348837209302326,0.7423979957742015,0.8191588198736931,0.8348837209302326,0.7222222222222222,0.5703462306799615,0.698961540242155,0.7222222222222222,1604414595.2367349,cells,256.0,32.0,1.0,0.8706555962562561,0.9372681975364685
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.7767441860465116,0.6011091050214847,0.7284509371674537,0.7767441860465116,0.7453703703703705,0.4856774491624367,0.6713619164626551,0.7453703703703703,1604414614.577513,cells,256.0,32.0,1.0,0.9965659976005554,1.0187538862228394
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.8906976744186047,0.8304012093964703,0.88595420224808,0.8906976744186047,0.7592592592592593,0.643288084464555,0.7470652078495216,0.7592592592592593,1604414640.3990254,hidden,128.0,32.0,1.0,0.6655016541481018,0.802014946937561
"ORB(nfeatures=500, scoreType=ORB_FAST_SCORE)",LSTM,,0.9,0.8316506832535605,0.8872499387810935,0.9,0.7824074074074074,0.6456456762630463,0.7596235977331198,0.7824074074074074,1604414646.6857877,hidden,128.0,32.0,1.0,0.7530491948127747,0.851467490196228
